Name,Empty1,Population,Empty2,Year,Type,Empty3
Trimble,,573,,2022,"city, city_fourth_class",
Triplett,,33,,2022,"city, city_fourth_class",
Troy,,"12,686",,2022,"city, county_seat, city_fourth_class",
Truesdale,,853,,2022,"city, city_fourth_class",
Truxton,,59,,2022,"city, village",
Turney,,114,,2022,"city, village",
Tuscumbia,,188,,2022,"city, county_seat, village",
Twin Bridges,,,,2011,city,
Twin Oaks,,605,,2022,"city, city_fourth_class",
Umber View Heights,,41,,2022,"city, village",
Union,,"12,348",,2022,"city, county_seat, city_fourth_class",
Union Star,,380,,2022,"city, city_fourth_class",
Unionville,,"1,735",,2022,"city, county_seat, city_fourth_class",
Unity Village,,66,,2022,"city, village",
University City,,"35,065",,2022,"city, home_rule_city",
Uplands Park,,312,,2022,"city, village",
Urbana,,387,,2022,"city, city_fourth_class",
Urich,,463,,2022,"city, city_fourth_class",
Utica,,222,,2022,"city, village",
Valley Park,,"6,885",,2022,"city, city_fourth_class",
Van Buren,,747,,2022,"city, county_seat, city_fourth_class",
Vandalia,,"3,553",,2022,"city, city_fourth_class",
Vandiver,,63,,2022,"city, village",
Vanduser,,183,,2022,"city, village",
Velda City,,"1,188",,2022,"city, city_fourth_class",
Velda Village Hills,,881,,2022,"city, village",
Vernon,,"19,707",,2022,"county, county_third_class_w_township_form",
Verona,,507,,2022,"city, city_fourth_class",
Versailles,,"2,539",,2022,"city, county_seat, city_fourth_class",
Vibbard,,215,,2022,"city, census_designated_place",
Viburnum,,667,,2022,"city, city_fourth_class",
Vienna,,581,,2022,"city, county_seat, city_fourth_class",
Villa Ridge,,"2,601",,2022,"city, census_designated_place",
Village of Four Seasons,,"2,383",,2022,"city, village",
Vinita Park,,"1,970",,2022,"city, city_fourth_class",
Vinita Terrace,,277,,2011,city,
Vista,,36,,2022,"city, village",
Waco,,72,,2022,"city, city_fourth_class",
Walker,,199,,2022,"city, city_fourth_class",
Walnut Grove,,652,,2022,"city, city_fourth_class",
Wardell,,310,,2022,"city, city_fourth_class",
Wardsville,,"1,599",,2022,"city, village",
Warren,,"35,532",,2022,"county, county_third_class_wo_township_form",
Warrensburg,,"19,337",,2022,"city, county_seat, city_third_class",
Warrenton,,"8,429",,2022,"city, county_seat, city_fourth_class",
Warsaw,,"2,209",,2022,"city, county_seat, city_fourth_class",
Warson Woods,,"2,018",,2022,"city, city_fourth_class",
Washburn,,407,,2022,"city, city_fourth_class",
Washington,,"14,500",,2022,"city, city_third_class",
Washington,,"23,514",,2022,"county, county_third_class_wo_township_form",
Wasola,,115,,2022,"city, census_designated_place",
Watson,,61,,2022,"city, village",
Waverly,,784,,2022,"city, city_fourth_class",
Wayland,,408,,2022,"city, city_fourth_class",
Wayne,,"10,974",,2022,"county, county_third_class_wo_township_form",
Waynesville,,"5,406",,2022,"city, county_seat, city_third_class",
Weatherby,,80,,2022,"city, village",
Weatherby Lake,,"2,077",,2022,"city, city_fourth_class",
Weaubleau,,378,,2022,"city, city_fourth_class",
Webb City,,"13,031",,2022,"city, city_third_class",
Webster,,"39,085",,2022,"county, county_third_class_wo_township_form",
Webster Groves,,"24,010",,2022,"city, home_rule_city",
Weingarten,,127,,2022,"city, census_designated_place",
Weldon Spring,,"5,326",,2022,"city, city_fourth_class",
Weldon Spring Heigh,,,,2011,city,
Weldon Spring Heights,,93,,2022,"city, village",
Wellington,,738,,2022,"city, city_fourth_class",
Wellston,,"1,537",,2022,"city, city_third_class",
Wellsville,,998,,2022,"city, city_fourth_class",
Wentworth,,98,,2022,"city, village",
Wentzville,,"44,372",,2022,"city, city_fourth_class",
West Alton,,359,,2022,"city, village",
West Line,,117,,2022,"city, village",
West Plains,,"12,184",,2022,"city, county_seat, city_third_class",
West Sullivan,,285,,2022,"city, village",
Westboro,,116,,2022,"city, city_fourth_class",
Weston,,"1,756",,2022,"city, city_fourth_class",
Westphalia,,378,,2022,"city, city_fourth_class",
Westwood,,316,,2022,"city, village",
Wheatland,,277,,2022,"city, city_fourth_class",
Wheaton,,672,,2022,"city, city_fourth_class",
Wheeling,,220,,2022,"city, city_fourth_class",
White Branch,,301,,2022,"city, census_designated_place",
White Oak,,101,,2022,"city, census_designated_place",
Whiteman AFB,,"2,896",,2022,"city, census_designated_place",
Whiteside,,52,,2022,"city, village",
Whitewater,,88,,2022,"city, village",
Whiting,,155,,2022,"city, census_designated_place",
Wilbur Park,,439,,2022,"city, village",
Wildwood,,"35,417",,2022,"city, home_rule_city",
Willard,,"6,344",,2022,"city, city_fourth_class",
Williamstown,,60,,2022,"city, census_designated_place",
Williamsville,,279,,2022,"city, city_fourth_class",
Willow Springs,,"2,164",,2022,"city, city_fourth_class",
Wilson City,,77,,2022,"city, village",
Winchester,,"1,447",,2022,"city, city_fourth_class",
Windsor,,"2,775",,2022,"city, city_fourth_class",
Windsor Place,,358,,2022,"city, village",
Winfield,,"1,518",,2022,"city, city_fourth_class",
Winigan,,37,,2022,"city, census_designated_place",
Winona,,950,,2022,"city, city_fourth_class",
Winston,,229,,2022,"city, village",
Wood Heights,,757,,2022,"city, city_fourth_class",
Woodson Terrace,,"3,950",,2022,"city, city_fourth_class",
Wooldridge,,28,,2022,"city, village",
Worth,,65,,2022,"city, village",
Worth,,"1,973",,2022,"county, county_third_class_wo_township_form",
Wortham,,197,,2022,"city, census_designated_place",
Worthington,,47,,2022,"city, village",
Wright,,"18,188",,2022,"county, county_third_class_wo_township_form",
Wright City,,"4,881",,2022,"city, city_fourth_class",
Wyaconda,,214,,2022,"city, city_fourth_class",
Wyatt,,219,,2022,"city, city_fourth_class",
Zalma,,73,,2022,"city, census_designated_place",
