Name,Empty1,Population,Empty2,Year,Type,Empty3
Callaway,,"44,283",,2022,"county, county_second_class",
Calverton Park,,"1,143",,2022,"city, village",
Camden,,175,,2022,"city, city_fourth_class",
Camden,,"42,745",,2022,"county, county_first_class",
Camden Point,,457,,2022,"city, city_fourth_class",
Camdenton,,"3,960",,2022,"city, county_seat, city_fourth_class",
Cameron,,"8,513",,2022,"city, city_third_class",
Campbell,,"1,605",,2022,"city, city_fourth_class",
Canalou,,158,,2022,"city, city_fourth_class",
Canton,,"2,774",,2022,"city, city_fourth_class",
Cape Girardeau,,"39,540",,2022,"city, home_rule_city",
Cape Girardeau,,"81,710",,2022,"county, county_first_class",
Cardwell,,561,,2022,"city, city_fourth_class",
Carl Junction,,"8,143",,2022,"city, city_fourth_class",
Carroll,,"8,495",,2022,"county, county_third_class_w_township_form",
Carrollton,,"3,514",,2022,"city, county_seat, special_charter_city",
Carter,,"5,202",,2022,"county, county_third_class_wo_township_form",
Carterville,,"1,855",,2022,"city, city_third_class",
Carthage,,"15,522",,2022,"city, county_seat, home_rule_city",
Caruthersville,,"5,562",,2022,"city, county_seat, city_third_class",
Carytown,,287,,2022,"city, village",
Cass,,"107,824",,2022,"county, county_first_class",
Cassville,,"3,190",,2022,"city, county_seat, city_fourth_class",
Castle Point,,"2,815",,2022,"city, census_designated_place",
Catron,,41,,2022,"city, city_fourth_class",
Cave,,,,2022,"city, village",
Cedar,,"14,188",,2022,"county, county_third_class_wo_township_form",
Cedar Hill,,"1,875",,2022,"city, census_designated_place",
Cedar Hill Lakes,,203,,2022,"city, village",
Center,,528,,2022,"city, city_fourth_class",
Centertown,,284,,2022,"city, village",
Centerview,,189,,2022,"city, city_fourth_class",
Centerville,,167,,2022,"city, county_seat, city_fourth_class",
Centralia,,"4,541",,2022,"city, city_fourth_class",
Chaffee,,"3,057",,2022,"city, city_third_class",
Chain of Rocks,,97,,2022,"city, village",
Chain-O-Lakes,,106,,2022,"city, village",
Chamois,,377,,2022,"city, city_fourth_class",
Champ,,10,,2022,"city, village",
Chariton,,"7,408",,2022,"county, county_third_class_w_township_form",
Charlack,,"1,304",,2022,"city, city_fourth_class",
Charleston,,"5,056",,2022,"city, county_seat, city_third_class",
Charmwood,,17,,2022,"city, village",
Cherokee Pass,,271,,2022,"city, census_designated_place",
Chesapeake,,48,,2022,"city, census_designated_place",
Chesterfield,,"49,999",,2022,"city, city_third_class",
Chilhowee,,291,,2022,"city, city_fourth_class",
Chillicothe,,"9,107",,2022,"city, county_seat, special_charter_city",
Christian,,"88,842",,2022,"county, county_first_class",
Chula,,195,,2022,"city, city_fourth_class",
Clarence,,738,,2022,"city, city_fourth_class",
Clark,,254,,2022,"city, city_fourth_class",
Clark,,"6,634",,2022,"county, county_third_class_wo_township_form",
Clarksburg,,254,,2022,"city, city_fourth_class",
Clarksdale,,245,,2022,"city, city_fourth_class",
Clarkson Valley,,"2,609",,2022,"city, city_fourth_class",
Clarksville,,372,,2022,"city, city_fourth_class",
Clarkton,,"1,009",,2022,"city, city_fourth_class",
Clay,,"253,335",,2022,"county, county_w_charter",
Claycomo,,"1,343",,2022,"city, village",
Clayton,,"17,355",,2022,"city, county_seat, home_rule_city",
Clearmont,,158,,2022,"city, city_fourth_class",
Cleveland,,650,,2022,"city, city_fourth_class",
Clever,,"2,918",,2022,"city, city_fourth_class",
Cliff Village,,40,,2022,"city, village",
Clifton Hill,,88,,2022,"city, city_fourth_class",
Climax Springs,,118,,2022,"city, census_designated_place",
Clinton,,"9,174",,2022,"city, county_seat, city_third_class",
Clinton,,"21,184",,2022,"county, county_third_class_wo_township_form",
Clyde,,55,,2022,"city, village",
Cobalt,,264,,2022,"city, village",
Coffey,,151,,2022,"city, city_fourth_class",
Cole,,"77,279",,2022,"county, county_first_class",
Cole Camp,,"1,104",,2022,"city, city_fourth_class",
Collins,,125,,2022,"city, village",
Columbia,,"126,254",,2022,"city, county_seat, home_rule_city",
Commerce,,45,,2022,"city, city_fourth_class",
Conception,,111,,2022,"city, census_designated_place",
Conception Junction,,177,,2022,"city, city_third_class",
Concord,,"17,668",,2022,"city, census_designated_place",
Concordia,,"2,371",,2022,"city, city_fourth_class",
Coney Island,,47,,2022,"city, village",
Connelsville,,53,,2022,"city, census_designated_place",
Conway,,729,,2022,"city, city_fourth_class",
Cool Valley,,"1,039",,2022,"city, city_fourth_class",
Cooper,,"17,103",,2022,"county, county_third_class_wo_township_form",
Cooter,,343,,2022,"city, city_fourth_class",
Corder,,418,,2022,"city, city_fourth_class",
Corning,,3,,2022,"city, village",
Cosby,,114,,2022,"city, village",
Cottleville,,"5,611",,2022,"city, city_fourth_class",
Country Club,,"2,487",,2022,"city, village",
Country Club Hills,,"1,014",,2022,"city, city_fourth_class",
Country Life Acres,,72,,2022,"city, village",
Cowgill,,168,,2022,"city, city_fourth_class",
Craig,,105,,2022,"city, city_fourth_class",
Crane,,"1,495",,2022,"city, city_fourth_class",
Crawford,,"23,056",,2022,"county, county_third_class_wo_township_form",
Creighton,,327,,2022,"city, city_fourth_class",
Crestwood,,"12,404",,2022,"city, home_rule_city",
Creve Coeur,,"18,834",,2022,"city, home_rule_city",
Crocker,,929,,2022,"city, city_fourth_class",
Cross Timbers,,119,,2022,"city, city_fourth_class",
Crystal City,,"4,740",,2022,"city, city_third_class",
Crystal Lake Park,,508,,2022,"city, city_fourth_class",
Crystal Lakes,,390,,2022,"city, city_fourth_class",
Cuba,,"3,181",,2022,"city, city_fourth_class",
Curryville,,197,,2022,"city, city_fourth_class",
Dade,,"7,569",,2022,"county, county_third_class_w_township_form",
Dadeville,,226,,2022,"city, village",
Dallas,,"17,071",,2022,"county, county_third_class_wo_township_form",
Dalton,,7,,2022,"city, village",
Danville,,28,,2022,"city, census_designated_place",
Dardenne Prairie,,"12,743",,2022,"city, city_fourth_class",
Darlington,,66,,2022,"city, city_fourth_class",
Daviess,,"8,430",,2022,"county, county_third_class_w_township_form",
Dawn,,100,,2022,"city, census_designated_place",
De Kalb,,233,,2022,"city, city_fourth_class",
De Soto,,"6,449",,2022,"city, city_third_class",
De Witt,,83,,2022,"city, city_fourth_class",
Dearborn,,482,,2022,"city, city_fourth_class",
Deepwater,,355,,2022,"city, city_fourth_class",
Deerfield,,40,,2022,"city, village",
Deering,,61,,2022,"city, census_designated_place",
Defiance,,159,,2022,"city, census_designated_place",
DeKalb,,"11,029",,2022,"county, county_third_class_w_township_form",
Dellwood,,"4,914",,2022,"city, city_fourth_class",
Delta,,376,,2022,"city, city_fourth_class",
Dennis Acres,,47,,2022,"city, village",
Dent,,"14,421",,2022,"county, county_third_class_wo_township_form",
Denton,,82,,2022,"city, census_designated_place",
Denver,,32,,2022,"city, village",
Des Arc,,131,,2022,"city, city_fourth_class",
Des Peres,,"9,193",,2022,"city, city_fourth_class",
Desloge,,"4,823",,2022,"city, city_fourth_class",
Dexter,,"7,927",,2022,"city, city_fourth_class",
Diamond,,831,,2022,"city, city_fourth_class",
Diehlstadt,,157,,2022,"city, village",
Diggins,,305,,2022,"city, village",
Dixon,,"1,232",,2022,"city, city_fourth_class",
Doe Run,,737,,2022,"city, census_designated_place",
Doniphan,,"1,781",,2022,"city, county_seat, city_fourth_class",
Doolittle,,564,,2022,"city, city_fourth_class",
Douglas,,"11,578",,2022,"county, county_third_class_wo_township_form",
Dover,,83,,2022,"city, village",
Downing,,300,,2022,"city, city_fourth_class",
Drexel,,968,,2022,"city, city_fourth_class",
Dudley,,101,,2022,"city, city_fourth_class",
Duenweg,,"1,495",,2022,"city, city_fourth_class",
Dunklin,,"28,283",,2022,"county, county_third_class_w_township_form",
Duquesne,,"2,159",,2022,"city, city_fourth_class",
Dutchtown,,163,,2022,"city, census_designated_place",
Eagle Rock,,193,,2022,"city, census_designated_place",
Eagleville,,275,,2022,"city, village",
East Lynne,,294,,2022,"city, city_fourth_class",
East Prairie,,"2,943",,2022,"city, city_fourth_class",
Easton,,227,,2022,"city, city_fourth_class",
Edgar Springs,,199,,2022,"city, city_fourth_class",
Edgerton,,601,,2022,"city, city_fourth_class",
Edina,,"1,012",,2022,"city, county_seat, city_fourth_class",
