Name,County,Class,Population,
Galena,Stone,4th,455,
Gallatin,Daviess,4th,1821,
Galt,Grundy,4th,168,
Garden City,Cass,4th,1629,
Gasconade,Gasconade,4th,172,
Gentry,Gentry,Village,56,
Gerald,Franklin,4th,1361,
Gerster,St. Clair,Village,21,
Gibbs,Adair,Village,70,
Gideon,New Madrid,4th,780,
Gilliam,Saline,4th,175,
Gilman City,Harrison,4th,329,
Ginger Blue,McDonald,Village,37,
Gladstone,Clay,3rd,27063,
Glasgow,"Charition, Howard",4th,1087,
Glasgow Village,St. Louis,CDP,4584,
Glen Allen,Bollinger,Village,57,
Glen Echo Park,St. Louis,Village,122,
Glenaire,Clay,4th,539,
Glendale,St. Louis,4th,6176,
Glenwood,Schuyler,Village,181,
Golden,Barry,CDP,275,
Golden City,Barton,4th,656,
Goodman,McDonald,4th,1202,
Goose Creek Lake,"St. Francis, Ste. Genevieve",CDP,524,
Gordonville,Cape Girardeau,Village,625,
Goss,Monroe,Village,0,
Gower,"Buchanan, Clinton",4th,1533,
Graham,Nodaway,4th,147,
Grain Valley,Jackson,4th,15627,
Granby,Newton,4th,2050,
Grand Falls Plaza,Newton,Village,103,
Grand Pass,Saline,Village,49,
Grandin,Carter,4th,226,
Grandview,Jackson,4th,26209,
Granger,Scotland,Village,22,
Grant City,Worth,4th,817,
Grantwood,St. Louis,Village,941,
Gravois Mills,Morgan,Village,129,
Gray Summit,Franklin,CDP,3055,
Grayhawk,Ste. Genevieve,CDP,488,
Grayridge,Stoddard,CDP,87,
Grayson,Clinton,Village,61,
Green Castle,Sullivan,NA,224,
Green City,Sullivan,4th,602,
Green Park,St. Louis,4th,2705,
Green Ridge,Pettis,4th,468,
Greendale,St. Louis,4th,642,
Greenfield,Dade,4th,1220,
Greentop,"Adair, Schuyler",4th,388,
Greenville,Wayne,4th,443,
Greenwood,Jackson,4th,6021,
Grovespring,Wright,CDP,187,
Guilford,Nodaway,Village,60,
Gunn City,Cass,Village,80,
Hale,Carroll,4th,375,
Halfway,Polk,Village,151,
Hallsville,Boone,4th,1614,
Halltown,Lawrence,Village,104,
Hamilton,Caldwell,4th,1690,
Hanley Hills,St. Louis,Village,2009,
Hannibal,"Marion, Ralls",Home Rule,17108,
Hardin,Ray,4th,571,
Harris,Sullivan,4th,65,
Harrisburg,Boone,Village,271,
Harrisonville,Cass,4th,10121,
Hartsburg,Boone,Village,133,
Hartville,Wright,4th,594,
Hartwell,Henry,CDP,15,
Harviell,Butler,CDP,98,
Harwood,Vernon,Village,29,
Hawk Point,Lincoln,4th,676,
Hayti,Pemiscot,4th,2493,
Hayti Heights,Pemiscot,4th,515,
Hayward,Pemiscot,CDP,93,
Haywood City,Scott,Village,133,
Hazelwood,St. Louis,Home Rule,25458,
Henrietta,Ray,4th,278,
Herculaneum,Jefferson,4th,4672,
Hermann,Gasconade,4th,2185,
Hermitage,Hickory,4th,621,
Higbee,Randolph,4th,459,
Higginsville,Lafayette,4th,4817,
High Hill,Montgomery,4th,186,
High Ridge,Jefferson,CDP,4242,
Highlandville,Christian,4th,963,
Hillsboro,Jefferson,4th,3473,
Hillsdale,St. Louis,Village,1216,
Hoberg,Lawrence,Village,48,
Holcomb,Dunklin,4th,642,
Holden,Johnson,3rd,2210,
Holland,Pemiscot,4th,194,
Holliday,Monroe,Village,114,
Hollister,Taney,4th,4583,
Hollywood,Dunklin,CDP,24,
Holt,"Clay, Clinton",4th,471,
Holts Summit,Callaway,4th,4458,
Homestead,Ray,Village,192,
Homestown,Pemiscot,4th,73,
Hopkins,Nodaway,4th,472,
Horine,Jefferson,CDP,657,
Hornersville,Dunklin,4th,537,
Houston,Texas,4th,2079,
Houston Lake,Platte,4th,229,
Houstonia,Pettis,4th,198,
Howardville,New Madrid,4th,277,
Hughesville,Pettis,Village,150,
Humansville,Polk,4th,907,
Hume,Bates,4th,283,
Humphreys,Sullivan,Village,89,
Hunnewell,Shelby,4th,139,
Hunter,Carter,CDP,95,
Huntleigh,St. Louis,4th,361,
Huntsdale,Boone,Village,29,
Huntsville,Randolph,3rd,1376,
Hurdland,Knox,4th,155,
Hurley,Stone,4th,176,
Iantha,Barton,CDP,95,
Iatan,Platte,Village,39,
Iberia,Miller,4th,703,
Imperial,Jefferson,CDP,4407,
Independence,Jackson,Home Rule,123011,
