Name,Type,Population,Class,CountySeat
Clinton,city,9174,city third class,Henry
Clinton,county,21184,county third class without township,Plattsburg
Clyde,city,55,village,Nodaway
Cobalt,city,264,village,Madison
Coffey,city,151,city fourth class,Daviess
Cole,county,77279,county first class,Jefferson City
Cole Camp,city,1104,city fourth class,Benton
Collins,city,125,village,St. Clair
Columbia,city,126254,city home rule,Boone
Commerce,city,45,city fourth class,Scott
Conception,city,111,census designated place,Nodaway
Conception Junction,city,175,city third class,Nodaway
Concord,city,17668,census designated place,St. Louis
Concordia,city,2371,city fourth class,Lafayette
Coney Island,city,47,village,Stone
Connelsville,city,53,census designated place,Adair
Conway,city,729,city fourth class,Laclede
Cool Valley,city,1039,city fourth class,St. Louis
Cooper,county,17103,county third class without township,Boonville
Cooter,city,343,city fourth class,Pemiscot
Corder,city,418,city fourth class,Lafayette
Corning,city,3,village,Holt
Cosby,city,114,village,Andrew
Cottleville,city,5611,city fourth class,St. Charles
Country Club,city,2487,village,Andrew
Country Club Hills,city,1014,city fourth class,St. Louis
Country Life Acres,city,72,village,St. Louis
Cowgill,city,168,city fourth class,Caldwell
Craig,city,105,city fourth class,Holt
Crane,city,1495,city fourth class,Stone
Crawford,county,23056,county third class without township,Steelville
Creighton,city,327,city fourth class,Cass
Crestwood,city,12404,city home rule,St. Louis
Creve Coeur,city,18834,city home rule,St. Louis
Crocker,city,929,city fourth class,Pulaski
Cross Timbers,city,119,city fourth class,Hickory
Crystal City,city,4740,city third class,Jefferson
Crystal Lake Park,city,508,city fourth class,St. Louis
Crystal Lakes,city,390,city fourth class,Ray
Cuba,city,3181,city fourth class,Crawford
Curryville,city,197,city fourth class,Pike
Dade,county,7569,county third class without township,Greenfield
Dadeville,city,226,village,Dade
Dallas,county,17071,county third class without township,Buffalo
Dalton,city,7,village,Chariton
Danville,city,28,census designated place,Montgomery
Dardenne Prairie,city,12743,city fourth class,St. Charles
Darlington,city,66,city fourth class,Gentry
Daviess,county,8430,county third class with township,Gallatin
Dawn,city,100,census designated place,Livingston
De Soto,city,6449,city third class,Jefferson
De Witt,city,83,city fourth class,Carroll
Dearborn,city,482,city fourth class,Platte
Deepwater,city,355,city fourth class,Henry
