Name,Population,Class,County,Seat
Defiance,159,CDP,St. Charles,
Dellwood,4914,4th,St. Louis,
Delta,376,4th,Cape Girardeau,
Dennis Acres,47,Village,Newton,
Denton,82,CDP,Pemiscot,
Denver,32,Village,Worth,
Des Arc,131,4th,Iron,
Des Peres,9193,4th,St. Louis,
Desloge,4823,4th,St. Francois,
Dexter,7927,4th,Stoddard,
Diamond,831,4th,Newton,
Diehlstadt,157,Village,Scott,
Diggins,305,Village,Webster,
Dixon,1232,4th,Pulaski,
Doe Run,737,CDP,St. Francois,
Doniphan,1781,4th,Ripley,
Doolittle,564,4th,Phelps,
Dover,83,Village,Lafayette,
Downing,300,4th,Schuyler,
Drexel,968,4th,Bates/Cass,
Dudley,101,4th,Stoddard,
Duenweg,1495,4th,Jasper,
Dunlap,0,Village,Grundy,
Duquesne,2159,4th,Jasper,
Dutchtown,163,CDP,Cape Girardeau,
Eagle Rock,193,CDP,Barry,
Eagleville,275,Village,Harrison,
East Fenway,0,Village,Lewis,
East Lynne,294,4th,Cass,
East Prairie,2943,4th,Mississippi,
Easton,227,4th,Buchanan,
Edgar Springs,199,4th,Phelps,
Edgerton,601,4th,Platte,
Edina,1012,4th,Knox,
Edinburg,84,CDP,Grundy,
Edmundson,860,4th,St. Louis,
El Dorado Springs,3493,3rd,Cedar,
Eldon,4416,4th,Miller,
Ellington,790,4th,Reynolds,
Ellisville,9985,Home Rule,St. Louis,
Ellsinore,416,4th,Carter,
Elmer,51,4th,Macon,
Elmira,39,Village,Ray,
Elmo,114,4th,Nodaway,
Elsberry,1937,4th,Lincoln,
Emerald Beach,212,Village,Barry,
Eminence,515,4th,Shannon,
Emma,201,4th,"Lafayette, Saline",
Eolia,472,Village,Pike,
Essex,403,4th,Stoddard,
Ethel,41,4th,Macon,
Eureka,11646,4th,St. Louis,
Evergreen,20,Village,Laclede,
Everton,273,4th,Dade,
Ewing,406,4th,Lewis,
Excello,61,CDP,Macon,
Excelsior Estates,209,4th,"Clay, Ray",
Excelsior Springs,10553,3rd,"Clay, Ray",
Exeter,733,4th,Barry,
Fair Grove,1582,4th,Greene,
Fair Play,422,4th,Polk,
Fairdealing,543,CDP,"Butler, Ripley",
Fairfax,648,4th,Atchison,
Fairview,419,4th,Newton,
Farber,255,4th,Audrain,
Farley,265,Village,Platte,
Farmington,18217,3rd,St. Francois,
Faucett,248,CDP,Buchanan,
Fayette,2803,4th,Howard,
Fenton,3989,4th,St. Louis,
Fenway Landing,0,Village,Lewis,
Ferguson,18527,Home Rule,St. Louis,
Ferrelview,642,Village,Platte,
Festus,12706,3rd,Jefferson,
Fidelity,227,Village,Jasper,
Fillmore,173,4th,Andrew,
Fisk,312,4th,Butler,
Fleming,114,4th,Ray,
Flemington,110,Village,Polk,
Flint Hill,981,4th,St. Charles,
Flordell Hills,724,4th,St. Louis,
Florida,5,NA,Monroe,
Florissant,52533,Home Rule,St. Louis,
Foley,89,4th,Lincoln,
Fordland,778,4th,Webster,
Forest City,243,4th,Holt,
Foristell,550,4th,"St. Charles, Warren",
Forsyth,2730,4th,Taney,
Fort Leonard Wood,15959,CDP,Pulaski,
Fortuna,130,CDP,Monitau,
Fortescue,21,Village,Holt,
Foster,76,Village,Bates,
Fountain N  Lakes,169,Village,Lincoln,
Frankclay,194,CDP,St. Francois,
Frankford,343,4th,Pike,
Franklin,70,4th,Howard,
Fredericktown,4429,4th,Madison,
Freeburg,409,Village,Osage,
Freeman,475,4th,Cass,
Freistatt,179,Village,Lawrence,
Fremont,43,CDP,Carter,
Fremont Hills,1049,4th,Christian,
Friedenswald,4,Village,Camden,
Frisbee,107,CDP,Dunklin,
Frohna,245,4th,Perry,
Frontenac,3612,4th,St. Louis,
Fulton,12600,Home Rule,Callaway,
Gainesville,745,4th,Ozark,
Galena,455,4th,Stone,
Gallatin,1821,4th,Daviess,
Galt,168,4th,Grundy,
Garden City,1629,4th,Cass,
Gasconade,172,4th,Gasconade,
Gentry,56,Village,Gentry,
Gerald,1361,4th,Franklin,
Gerster,21,Village,St. Clair,
Gibbs,70,Village,Adair,
Gideon,780,4th,New Madrid,
Gilliam,175,4th,Saline,
Gilman City,329,4th,Harrison,
Ginger Blue,37,Village,McDonald,
Gladstone,27063,3rd,Clay,
Glasgow,1087,4th,"Charition, Howard",
Glasgow Village,4584,CDP,St. Louis,
Glen Allen,57,Village,Bollinger,
Glen Echo Park,122,Village,St. Louis,
Glenaire,539,4th,Clay,
Glendale,6176,4th,St. Louis,
Glenwood,181,Village,Schuyler,
Golden,275,CDP,Barry,
Golden City,656,4th,Barton,
Goodman,1202,4th,McDonald,
Goose Creek Lake,524,CDP,"St. Francis, Ste. Genevieve",
Gordonville,625,Village,Cape Girardeau,
Goss,0,Village,Monroe,
